id,Aktualność danych na dzień,Jednostka zarządzająca,Nazwa polska,Nazwa łacińska,Numer inwentaryzacyjny,Obwód pnia w cm,Wysokość w m,gtype,height,id,imgurl,width,x,y
AAKG9OAAFAAENQmAAl,18.06.2013,Dzielnica Włochy,wiśnia  sp.,Prunus  sp.(wiśnia),D332855,"10, 10",4,2001,1,AAKG9OAAFAAENQmAAl,http://mapa.um.warszawa.pl/mvimages/san12/fig/753_fig_7402760_S1A_1_1.png?refresh=8719326626144038674,1,7496844.382,5779971.6196
AAKG9OAAFAAENQmAAk,18.06.2013,Dzielnica Włochy,śliwa  sp.,Prunus  sp.(śliwa),D332854,56,8,2001,1,AAKG9OAAFAAENQmAAk,http://mapa.um.warszawa.pl/mvimages/san12/fig/753_fig_7402760_S1A_1_1.png,1,7496845.1256,5779986.5876
AAKG9OAAFAAENQmAAj,18.06.2013,Dzielnica Włochy,orzech włoski,Juglans regia,D332853,29,8,2001,1,AAKG9OAAFAAENQmAAj,http://mapa.um.warszawa.pl/mvimages/san12/fig/753_fig_7402760_S11_1_1.png?refresh=-6194903528892309515,1,7496845.3108,5779988.7386
AAKG9OAAFAAENQmAAi,18.06.2013,Dzielnica Włochy,orzech włoski,Juglans regia,D332852,8,1.3999999762,2001,1,AAKG9OAAFAAENQmAAi,http://mapa.um.warszawa.pl/mvimages/san12/fig/753_fig_7402760_S1E_1_1.png?refresh=3600235033189705098,1,7496845.6385,5779998.3513
AAKG9OAAFAAENQmAAm,18.06.2013,Dzielnica Włochy,orzech włoski,Juglans regia,D332856,36,8,2001,1,AAKG9OAAFAAENQmAAm,http://mapa.um.warszawa.pl/mvimages/san12/fig/753_fig_7402760_S11_1_1.png,1,7496960.8154,5779834.3115
