id,Aktualność danych na dzień,Jednostka zarządzająca,Nazwa polska,Nazwa łacińska,Numer inwentaryzacyjny,Obwód pnia w cm,Wysokość w m,gtype,height,id,imgurl,width,x,y
AAKG9OAAFAAEM0OAAO,18.12.2012,Dzielnica Mokotów,klon jesionolistny,Acer negundo,D295285,"99, 74",7,2001,2,AAKG9OAAFAAEM0OAAO,http://mapa.um.warszawa.pl/mvimages/san12/fig/753_fig_7403311_SY_2_2.png?refresh=-2363578336854096810,2,7503028.8476,5784952.3843
AAKG9OAAFAAEM0OAAN,18.12.2012,Dzielnica Mokotów,"topola czarna ""Italica""",Populus nigra 'Italica',D295284,"95, 97, 100",26,2001,2,AAKG9OAAFAAEM0OAAN,http://mapa.um.warszawa.pl/mvimages/san12/fig/753_fig_7403311_SX_2_2.png?refresh=-4901824149980819300,2,7503020.2491,5785008.3484
AAKG9OAAFAAEM0OAAM,18.12.2012,Dzielnica Mokotów,"topola czarna ""Italica""",Populus nigra 'Italica',D295283,114,11,2001,1,AAKG9OAAFAAEM0OAAM,http://mapa.um.warszawa.pl/mvimages/san12/fig/753_fig_7403311_S12_1_1.png?refresh=-5751723775375488683,1,7503017.8615,5785017.8985
AAKG9OAAFAAEM0OAAL,18.12.2012,Dzielnica Mokotów,"topola czarna ""Italica""",Populus nigra 'Italica',D295282,"74, 65, 63",14,2001,1,AAKG9OAAFAAEM0OAAL,http://mapa.um.warszawa.pl/mvimages/san12/fig/753_fig_7403311_S12_1_1.png,1,7503016.9596,5785023.3101
AAKG9OAAFAAEM0OAAK,18.12.2012,Dzielnica Mokotów,robinia biała,Robinia pseudoacacia,D295281,"10, 8, 6",4,2001,1,AAKG9OAAFAAEM0OAAK,http://mapa.um.warszawa.pl/mvimages/san12/fig/753_fig_7403311_S11_1_1.png?refresh=-7199673872800362224,1,7503014.6783,5785040.447
AAKG9OAAFAAEM0xAAN,18.12.2012,Dzielnica Mokotów,klon jesionolistny,Acer negundo,D295280,85,10,2001,1,AAKG9OAAFAAEM0xAAN,http://mapa.um.warszawa.pl/mvimages/san12/fig/753_fig_7403311_SZ_1_1.png?refresh=-4051870324530785079,1,7502999.9771,5785078.6036
AAKG9OAAFAAEM0xAAM,18.12.2012,Dzielnica Mokotów,topola biała,Populus alba,D295279,"240, 250",30,2001,3,AAKG9OAAFAAEM0xAAM,http://mapa.um.warszawa.pl/mvimages/san12/fig/753_fig_7403311_S16_3_3.png?refresh=-1147557476842962128,3,7502999.6401,5785114.0234
AAKG9OAAFAAEM1JAAO,18.12.2012,Zarząd Zieleni m.st. Warszawy,lipa drobnolistna,Tilia cordata,D292492,98,10,2001,1,AAKG9OAAFAAEM1JAAO,http://mapa.um.warszawa.pl/mvimages/san12/fig/753_fig_7403311_SZ_1_1.png,1,7503012.1053,5785879.3527
AAKG9OAAFAAEM1JAAQ,18.12.2012,Zarząd Zieleni m.st. Warszawy,lipa drobnolistna,Tilia cordata,D292494,100,11,2001,2,AAKG9OAAFAAEM1JAAQ,http://mapa.um.warszawa.pl/mvimages/san12/fig/753_fig_7403311_SX_2_2.png,2,7503018.2555,5785885.7208
AAKG9OAAFAAEM1JAAP,18.12.2012,Zarząd Zieleni m.st. Warszawy,lipa drobnolistna,Tilia cordata,D292493,72,9,2001,1,AAKG9OAAFAAEM1JAAP,http://mapa.um.warszawa.pl/mvimages/san12/fig/753_fig_7403311_S12_1_1.png,1,7503019.3448,5785879.7717
AAKG9OAAFAAEM1kAAU,18.12.2012,Zarząd Zieleni m.st. Warszawy,lipa szerokolistna,Tilia platyphyllos,D291751,128,11,2001,2,AAKG9OAAFAAEM1kAAU,http://mapa.um.warszawa.pl/mvimages/san12/fig/753_fig_7403311_SX_2_2.png,2,7503020.955,5785926.7815
AAKG9OAAFAAEM1YAAR,18.12.2012,Zarząd Zieleni m.st. Warszawy,lipa szerokolistna,Tilia platyphyllos,D291737,17,6,2001,1,AAKG9OAAFAAEM1YAAR,http://mapa.um.warszawa.pl/mvimages/san12/fig/753_fig_7403311_S1A_1_1.png?refresh=-1783541964643983533,1,7503027.2783,5785919.6313
AAKG9OAAFAAEM1kAAT,18.12.2012,Zarząd Zieleni m.st. Warszawy,lipa szerokolistna,Tilia platyphyllos,D291750,113,11,2001,2,AAKG9OAAFAAEM1kAAT,http://mapa.um.warszawa.pl/mvimages/san12/fig/753_fig_7403311_SX_2_2.png,2,7503027.7699,5785926.3345
AAKG9OAAFAAEM1JAAS,18.12.2012,Zarząd Zieleni m.st. Warszawy,lipa drobnolistna,Tilia cordata,D292496,135,15,2001,2,AAKG9OAAFAAEM1JAAS,http://mapa.um.warszawa.pl/mvimages/san12/fig/753_fig_7403311_SY_2_2.png,2,7503029.2322,5785880.1908
AAKG9OAAFAAEM1JAAa,18.12.2012,Zarząd Zieleni m.st. Warszawy,lipa drobnolistna,Tilia cordata,D292504,110,13,2001,1,AAKG9OAAFAAEM1JAAa,http://mapa.um.warszawa.pl/mvimages/san12/fig/753_fig_7403311_SZ_1_1.png,1,7503029.2825,5785885.5533
AAKG9OAAFAAEM1YAAS,18.12.2012,Zarząd Zieleni m.st. Warszawy,lipa szerokolistna,Tilia platyphyllos,D291738,17,4,2001,1,AAKG9OAAFAAEM1YAAS,http://mapa.um.warszawa.pl/mvimages/san12/fig/753_fig_7403311_S1A_1_1.png,1,7503033.6464,5785919.4078
AAKG9OAAFAAEM1kAAS,18.12.2012,Zarząd Zieleni m.st. Warszawy,lipa szerokolistna,Tilia platyphyllos,D291749,160,12,2001,2,AAKG9OAAFAAEM1kAAS,http://mapa.um.warszawa.pl/mvimages/san12/fig/753_fig_7403311_SY_2_2.png,2,7503036.7076,5785927.6752
AAKG9OAAFAAEM1JAAZ,18.12.2012,Zarząd Zieleni m.st. Warszawy,lipa drobnolistna,Tilia cordata,D292503,100,10,2001,1,AAKG9OAAFAAEM1JAAZ,http://mapa.um.warszawa.pl/mvimages/san12/fig/753_fig_7403311_SZ_1_1.png,1,7503037.6615,5785885.302
AAKG9OAAFAAEM1JAAT,18.12.2012,Zarząd Zieleni m.st. Warszawy,lipa drobnolistna,Tilia cordata,D292497,95,12,2001,1,AAKG9OAAFAAEM1JAAT,http://mapa.um.warszawa.pl/mvimages/san12/fig/753_fig_7403311_SZ_1_1.png,1,7503037.6951,5785880.1069
AAKG9OAAFAAEM1YAAT,18.12.2012,Zarząd Zieleni m.st. Warszawy,lipa szerokolistna,Tilia platyphyllos,D291739,85,11,2001,2,AAKG9OAAFAAEM1YAAT,http://mapa.um.warszawa.pl/mvimages/san12/fig/753_fig_7403311_SX_2_2.png,2,7503043.1428,5785920.1899
AAKG9OAAFAAEM1YAAc,18.12.2012,Zarząd Zieleni m.st. Warszawy,lipa szerokolistna,Tilia platyphyllos,D291748,100,11,2001,2,AAKG9OAAFAAEM1YAAc,http://mapa.um.warszawa.pl/mvimages/san12/fig/753_fig_7403311_SX_2_2.png,2,7503045.3102,5785927.8987
AAKG9OAAFAAEM1JAAU,18.12.2012,Zarząd Zieleni m.st. Warszawy,lipa drobnolistna,Tilia cordata,D292498,121,13,2001,2,AAKG9OAAFAAEM1JAAU,http://mapa.um.warszawa.pl/mvimages/san12/fig/753_fig_7403311_SY_2_2.png,2,7503045.9066,5785880.2744
AAKG9OAAFAAEM0QAAG,18.12.2012,Dzielnica Mokotów,robinia biała,Robinia pseudoacacia,D293288,63,13,2001,2,AAKG9OAAFAAEM0QAAG,http://mapa.um.warszawa.pl/mvimages/san12/fig/753_fig_7403311_SW_2_2.png?refresh=2205504283125739117,2,7502925.6229,5785542.2579
AAKG9OAAFAAEM0QAAK,18.12.2012,Dzielnica Mokotów,modrzew  sp.,Larix  sp.,D293292,0,.5,2001,1,AAKG9OAAFAAEM0QAAK,http://mapa.um.warszawa.pl/mvimages/san12/fig/753_fig_7403311_S1E_1_1.png?refresh=5142624732547693015,1,7502925.9764,5785547.3843
AAKG9OAAFAAEM0QAAL,18.12.2012,Dzielnica Mokotów,sosna pospolita,Pinus sylvestris,D293293,0,1,2001,1,AAKG9OAAFAAEM0QAAL,http://mapa.um.warszawa.pl/mvimages/san12/fig/753_fig_7403311_S1A_1_1.png,1,7502926.5067,5785548.8869
AAKG9OAAFAAEM0QAAM,18.12.2012,Dzielnica Mokotów,lipa drobnolistna,Tilia cordata,D293294,21,6,2001,1,AAKG9OAAFAAEM0QAAM,http://mapa.um.warszawa.pl/mvimages/san12/fig/753_fig_7403311_S11_1_1.png,1,7502926.6835,5785570.1878
AAKG9OAAFAAEM0QAAH,18.12.2012,Dzielnica Mokotów,sosna pospolita,Pinus sylvestris,D293289,0,1,2001,1,AAKG9OAAFAAEM0QAAH,http://mapa.um.warszawa.pl/mvimages/san12/fig/753_fig_7403311_S1E_1_1.png,1,7502926.6835,5785544.5559
AAKG9OAAFAAEM0QAAI,18.12.2012,Dzielnica Mokotów,wierzba  sp.,Salix  sp.,D293290,6,2,2001,1,AAKG9OAAFAAEM0QAAI,http://mapa.um.warszawa.pl/mvimages/san12/fig/753_fig_7403311_S11_1_1.png,1,7502927.3022,5785546.0585
AAKG9OAAFAAEM0QAAJ,18.12.2012,Dzielnica Mokotów,brzoza brodawkowata,Betula pendula,D293291,"13, 9",4,2001,1,AAKG9OAAFAAEM0QAAJ,http://mapa.um.warszawa.pl/mvimages/san12/fig/753_fig_7403311_S11_1_1.png,1,7502927.5673,5785547.6495
AAKG9OAAFAAEM0QAAF,18.12.2012,Dzielnica Mokotów,sosna wejmutka,Pinus strobus,D293287,11,2,2001,1,AAKG9OAAFAAEM0QAAF,http://mapa.um.warszawa.pl/mvimages/san12/fig/753_fig_7403311_S11_1_1.png,1,7502928.7105,5785528.1064
AAKG9OAAFAAEM0QAAE,18.12.2012,Dzielnica Mokotów,lipa drobnolistna,Tilia cordata,D293286,23,6,2001,1,AAKG9OAAFAAEM0QAAE,http://mapa.um.warszawa.pl/mvimages/san12/fig/753_fig_7403311_S11_1_1.png,1,7502929.1818,5785519.3071
AAKG9OAAFAAEM0QAAD,18.12.2012,Dzielnica Mokotów,lipa drobnolistna,Tilia cordata,D293285,23,6,2001,1,AAKG9OAAFAAEM0QAAD,http://mapa.um.warszawa.pl/mvimages/san12/fig/753_fig_7403311_S1C_1_1.png?refresh=-7176565270919652994,1,7502930.2818,5785512.0006
AAKG9OAAFAAEM1gAAP,18.12.2012,Dzielnica Mokotów,lipa drobnolistna,Tilia cordata,D292998,20,6,2001,1,AAKG9OAAFAAEM1gAAP,http://mapa.um.warszawa.pl/mvimages/san12/fig/753_fig_7403311_S11_1_1.png,1,7502941.0081,5785589.3361
AAKG9OAAFAAEM1gAAQ,18.12.2012,Dzielnica Mokotów,lipa drobnolistna,Tilia cordata,D292999,21,6,2001,1,AAKG9OAAFAAEM1gAAQ,http://mapa.um.warszawa.pl/mvimages/san12/fig/753_fig_7403311_S11_1_1.png,1,7502949.8734,5785591.1091
AAKG9OAAFAAEM1gAAR,18.12.2012,Dzielnica Mokotów,lipa drobnolistna,Tilia cordata,D293000,18,6,2001,1,AAKG9OAAFAAEM1gAAR,http://mapa.um.warszawa.pl/mvimages/san12/fig/753_fig_7403311_S11_1_1.png,1,7502958.9357,5785590.3211
AAKG9OAAFAAEM1gAAS,18.12.2012,Dzielnica Mokotów,lipa drobnolistna,Tilia cordata,D293001,18,6,2001,1,AAKG9OAAFAAEM1gAAS,http://mapa.um.warszawa.pl/mvimages/san12/fig/753_fig_7403311_S11_1_1.png,1,7502964.4519,5785591.5031
