id,Aktualność danych na dzień,Jednostka zarządzająca,Nazwa polska,Nazwa łacińska,Numer inwentaryzacyjny,Obwód pnia w cm,Wysokość w m,gtype,height,id,imgurl,width,x,y
AAKG9OAAFAAD7bRAAD,04.07.2012,Zarząd Zieleni m.st. Warszawy,grusza  sp.,Pyrus  sp.,D266932,"39, 26",9,2001,1,AAKG9OAAFAAD7bRAAD,http://mapa.um.warszawa.pl/mvimages/san13/fig/752_fig_7404810_S14_1_1.png?refresh=5585372575340225078,1,7507042.7396,5782796.1554
AAKG9OAAFAAD7bRAAC,04.07.2012,Zarząd Zieleni m.st. Warszawy,topola biała,Populus alba,D266931,134,10,2001,3,AAKG9OAAFAAD7bRAAC,http://mapa.um.warszawa.pl/mvimages/san13/fig/752_fig_7404810_S10_3_3.png?refresh=-5805333177195626211,3,7507040.0283,5782799.9031
AAKG9OAAFAAD7bRAAA,04.07.2012,Zarząd Zieleni m.st. Warszawy,topola biała,Populus alba,D266929,32,4,2001,1,AAKG9OAAFAAD7bRAAA,http://mapa.um.warszawa.pl/mvimages/san13/fig/752_fig_7404810_S1E_1_1.png?refresh=-2239822003954029802,1,7507039.5669,5782801.5951
AAKG9OAAFAAD7bRAAB,04.07.2012,Zarząd Zieleni m.st. Warszawy,topola biała,Populus alba,D266930,56,8,2001,1,AAKG9OAAFAAD7bRAAB,http://mapa.um.warszawa.pl/mvimages/san13/fig/752_fig_7404810_S1C_1_1.png?refresh=8468661600532004321,1,7507037.5934,5782802.3701
AAKG9OAAFAAD7blAAn,04.07.2012,Zarząd Zieleni m.st. Warszawy,topola biała,Populus alba,D266928,"86, 43",11,2001,3,AAKG9OAAFAAD7blAAn,http://mapa.um.warszawa.pl/mvimages/san13/fig/752_fig_7404810_S1G_3_3.png?refresh=6912227305811317278,3,7507038.7852,5782803.0123
AAKG9OAAFAAD7blAAm,04.07.2012,Zarząd Zieleni m.st. Warszawy,topola biała,Populus alba,D266927,66,9,2001,2,AAKG9OAAFAAD7blAAm,http://mapa.um.warszawa.pl/mvimages/san13/fig/752_fig_7404810_S11_2_2.png?refresh=-2987818264896521731,2,7507038.2329,5782804.247
AAKG9OAAFAAD7blAAl,04.07.2012,Zarząd Zieleni m.st. Warszawy,wierzba  sp.,Salix  sp.,D266926,281,7,2001,3,AAKG9OAAFAAD7blAAl,http://mapa.um.warszawa.pl/mvimages/san13/fig/752_fig_7404810_S1G_3_3.png,3,7507031.1074,5782815.8112
AAKG9OAAFAAD7blAAj,04.07.2012,Zarząd Zieleni m.st. Warszawy,brzoza brodawkowata,Betula pendula,D266924,36,9,2001,1,AAKG9OAAFAAD7blAAj,http://mapa.um.warszawa.pl/mvimages/san13/fig/752_fig_7404810_S1C_1_1.png,1,7506991.3264,5782859.8113
AAKG9OAAFAAD7blAAk,04.07.2012,Dzielnica Wilanów,kasztanowiec pospolity,Aesculus hippocastanum,D266925,"25, 15",4,2001,1,AAKG9OAAFAAD7blAAk,http://mapa.um.warszawa.pl/mvimages/san13/fig/752_fig_7404810_S1B_1_1.png?refresh=1602482940299293768,1,7506993.8031,5782859.9062
AAKG9OAAFAAD7blAAi,04.07.2012,Zarząd Zieleni m.st. Warszawy,jesion wyniosły,Fraxinus excelsior,D266923,58,12,2001,2,AAKG9OAAFAAD7blAAi,http://mapa.um.warszawa.pl/mvimages/san13/fig/752_fig_7404810_S11_2_2.png,2,7506989.6733,5782861.3638
AAKG9OAAFAAD7blAAh,04.07.2012,Zarząd Zieleni m.st. Warszawy,dąb szypułkowy,Quercus robur,D266922,48,12,2001,2,AAKG9OAAFAAD7blAAh,http://mapa.um.warszawa.pl/mvimages/san13/fig/752_fig_7404810_S11_2_2.png,2,7506991.7365,5782861.8705
AAKG9OAAFAAD7blAAg,04.07.2012,Dzielnica Wilanów,modrzew europejski,Larix decidua,D266921,37,10,2001,1,AAKG9OAAFAAD7blAAg,http://mapa.um.warszawa.pl/mvimages/san13/fig/752_fig_7404810_S1E_1_1.png,1,7506993.8908,5782862.6966
AAKG9OAAFAAD7blAAe,04.07.2012,Zarząd Zieleni m.st. Warszawy,modrzew europejski,Larix decidua,D266919,44,10,2001,1,AAKG9OAAFAAD7blAAe,http://mapa.um.warszawa.pl/mvimages/san13/fig/752_fig_7404810_S1B_1_1.png,1,7506989.5783,5782863.8341
AAKG9OAAFAAD7blAAf,04.07.2012,Zarząd Zieleni m.st. Warszawy,modrzew europejski,Larix decidua,D266920,42,10,2001,1,AAKG9OAAFAAD7blAAf,http://mapa.um.warszawa.pl/mvimages/san13/fig/752_fig_7404810_S1E_1_1.png,1,7506992.3278,5782865.119
AAKG9OAAFAAD7blAAc,04.07.2012,Zarząd Zieleni m.st. Warszawy,klon pospolity,Acer platanoides,D266917,54,11,2001,2,AAKG9OAAFAAD7blAAc,http://mapa.um.warszawa.pl/mvimages/san13/fig/752_fig_7404810_S11_2_2.png,2,7506985.1187,5782871.2853
AAKG9OAAFAAD7blAAd,04.07.2012,Zarząd Zieleni m.st. Warszawy,modrzew europejski,Larix decidua,D266918,50,11,2001,1,AAKG9OAAFAAD7blAAd,http://mapa.um.warszawa.pl/mvimages/san13/fig/752_fig_7404810_S1B_1_1.png,1,7506988.0999,5782871.335
AAKG9OAAFAAD7blAAW,04.07.2012,Zarząd Zieleni m.st. Warszawy,modrzew europejski,Larix decidua,D266911,29,5,2001,1,AAKG9OAAFAAD7blAAW,http://mapa.um.warszawa.pl/mvimages/san13/fig/752_fig_7404810_S1F_1_1.png?refresh=2454946335859909951,1,7506977.1811,5782873.2869
AAKG9OAAFAAD7blAAb,04.07.2012,Zarząd Zieleni m.st. Warszawy,olsza  sp.,Alnus  sp.,D266916,44,10,2001,1,AAKG9OAAFAAD7blAAb,http://mapa.um.warszawa.pl/mvimages/san13/fig/752_fig_7404810_S1B_1_1.png,1,7506986.9036,5782873.8497
AAKG9OAAFAAD7blAAY,04.07.2012,Zarząd Zieleni m.st. Warszawy,wierzba  sp.,Salix  sp.,D266913,63,8,2001,2,AAKG9OAAFAAD7blAAY,http://mapa.um.warszawa.pl/mvimages/san13/fig/752_fig_7404810_S15_2_2.png?refresh=7247778995183569113,2,7506981.7663,5782874.4369
AAKG9OAAFAAD7blAAa,04.07.2012,Zarząd Zieleni m.st. Warszawy,brzoza brodawkowata,Betula pendula,D266915,43,12,2001,1,AAKG9OAAFAAD7blAAa,http://mapa.um.warszawa.pl/mvimages/san13/fig/752_fig_7404810_S1B_1_1.png,1,7506985.4336,5782875.9063
AAKG9OAAFAAD7blAAU,04.07.2012,Zarząd Zieleni m.st. Warszawy,brzoza brodawkowata,Betula pendula,D266909,54,9,2001,1,AAKG9OAAFAAD7blAAU,http://mapa.um.warszawa.pl/mvimages/san13/fig/752_fig_7404810_S1C_1_1.png,1,7506978.14,5782876.4905
AAKG9OAAFAAD7blAAX,04.07.2012,Zarząd Zieleni m.st. Warszawy,jesion wyniosły,Fraxinus excelsior,D266912,36,8,2001,1,AAKG9OAAFAAD7blAAX,http://mapa.um.warszawa.pl/mvimages/san13/fig/752_fig_7404810_S14_1_1.png,1,7506980.0662,5782876.5845
AAKG9OAAFAAD7blAAZ,04.07.2012,Zarząd Zieleni m.st. Warszawy,brzoza brodawkowata,Betula pendula,D266914,51,9,2001,1,AAKG9OAAFAAD7blAAZ,http://mapa.um.warszawa.pl/mvimages/san13/fig/752_fig_7404810_S1C_1_1.png,1,7506983.4585,5782877.9162
AAKG9OAAFAAD7blAAT,04.07.2012,Zarząd Zieleni m.st. Warszawy,brzoza brodawkowata,Betula pendula,D266908,84,10,2001,2,AAKG9OAAFAAD7blAAT,http://mapa.um.warszawa.pl/mvimages/san13/fig/752_fig_7404810_S12_2_2.png?refresh=5463590205547994731,2,7506978.6848,5782880.6085
AAKG9OAAFAAD7bNAAP,04.07.2012,Dzielnica Wilanów,wierzba krucha,Salix fragilis,D266884,48,8,2001,1,AAKG9OAAFAAD7bNAAP,http://mapa.um.warszawa.pl/mvimages/san13/fig/752_fig_7404810_S1C_1_1.png,1,7507015.3501,5784001.3231
AAKG9OAAFAAD7bNAAO,04.07.2012,Dzielnica Wilanów,wierzba krucha,Salix fragilis,D266883,93,11,2001,2,AAKG9OAAFAAD7bNAAO,http://mapa.um.warszawa.pl/mvimages/san13/fig/752_fig_7404810_S12_2_2.png,2,7507018.6481,5784003.9808
AAKG9OAAFAAD7bNAAN,04.07.2012,Dzielnica Wilanów,wierzba krucha,Salix fragilis,D266882,"56, 33, 42",9,2001,3,AAKG9OAAFAAD7bNAAN,http://mapa.um.warszawa.pl/mvimages/san13/fig/752_fig_7404810_S1G_3_3.png,3,7507031.7485,5784013.5129
AAKG9OAAFAAD7b8AAm,04.07.2012,Dzielnica Wilanów,topola czarna,Populus nigra,D266844,1,1,2001,1,AAKG9OAAFAAD7b8AAm,http://mapa.um.warszawa.pl/mvimages/san13/fig/752_fig_7404810_S1E_1_1.png,1,7507015.3028,5784132.0867
AAKG9OAAFAAD7bBAAB,04.07.2012,Dzielnica Wilanów,topola osika,Populus tremula,D266846,83,9,2001,2,AAKG9OAAFAAD7bBAAB,http://mapa.um.warszawa.pl/mvimages/san13/fig/752_fig_7404810_S15_2_2.png,2,7506980.4894,5784139.9955
AAKG9OAAFAAD7bBAAA,04.07.2012,Dzielnica Wilanów,topola osika,Populus tremula,D266845,103,10,2001,2,AAKG9OAAFAAD7bBAAA,http://mapa.um.warszawa.pl/mvimages/san13/fig/752_fig_7404810_S12_2_2.png,2,7506987.3589,5784145.9971
AAKG9OAAFAAD7bBAAF,04.07.2012,Dzielnica Wilanów,topola osika,Populus tremula,D266850,"110, 37",16,2001,2,AAKG9OAAFAAD7bBAAF,http://mapa.um.warszawa.pl/mvimages/san13/fig/752_fig_7404810_S12_2_2.png,2,7506963.7434,5784146.7867
AAKG9OAAFAAD7bBAAG,04.07.2012,Dzielnica Wilanów,topola osika,Populus tremula,D266851,68,12,2001,2,AAKG9OAAFAAD7bBAAG,http://mapa.um.warszawa.pl/mvimages/san13/fig/752_fig_7404810_S11_2_2.png,2,7506958.8827,5784147.2829
AAKG9OAAFAAD7bBAAH,04.07.2012,Dzielnica Wilanów,jabłoń domowa,Malus domestica,D266852,"21, 16",6,2001,2,AAKG9OAAFAAD7bBAAH,http://mapa.um.warszawa.pl/mvimages/san13/fig/752_fig_7404810_S11_2_2.png,2,7506949.247,5784152.1632
AAKG9OAAFAAD7bBAAI,04.07.2012,Dzielnica Wilanów,topola osika,Populus tremula,D266853,"60, 56",12,2001,1,AAKG9OAAFAAD7bBAAI,http://mapa.um.warszawa.pl/mvimages/san13/fig/752_fig_7404810_S1C_1_1.png,1,7506947.086,5784156.0938
AAKG9OAAFAAD7bBAAJ,04.07.2012,Dzielnica Wilanów,topola osika,Populus tremula,D266854,"55, 69",11,2001,1,AAKG9OAAFAAD7bBAAJ,http://mapa.um.warszawa.pl/mvimages/san13/fig/752_fig_7404810_S1C_1_1.png,1,7506953.9622,5784157.338
AAKG9OAAFAAD7bBAAK,04.07.2012,Dzielnica Wilanów,topola osika,Populus tremula,D266855,"111, 45, 42",14,2001,2,AAKG9OAAFAAD7bBAAK,http://mapa.um.warszawa.pl/mvimages/san13/fig/752_fig_7404810_S12_2_2.png,2,7506942.3115,5784160.3866
AAKG9OAAFAAD7bBAAC,04.07.2012,Dzielnica Wilanów,topola osika,Populus tremula,D266847,"65, 33",12,2001,1,AAKG9OAAFAAD7bBAAC,http://mapa.um.warszawa.pl/mvimages/san13/fig/752_fig_7404810_S1B_1_1.png,1,7506982.0186,5784161.128
AAKG9OAAFAAD7bBAAD,04.07.2012,Dzielnica Wilanów,topola osika,Populus tremula,D266848,145,15,2001,3,AAKG9OAAFAAD7bBAAD,http://mapa.um.warszawa.pl/mvimages/san13/fig/752_fig_7404810_S10_3_3.png,3,7506978.2501,5784167.2516
AAKG9OAAFAAD7bBAAL,04.07.2012,Dzielnica Wilanów,grusza  sp.,Pyrus  sp.,D266856,25,5,2001,1,AAKG9OAAFAAD7bBAAL,http://mapa.um.warszawa.pl/mvimages/san13/fig/752_fig_7404810_S1B_1_1.png,1,7506935.0884,5784177.8474
AAKG9OAAFAAD7bBAAE,04.07.2012,Dzielnica Wilanów,topola osika,Populus tremula,D266849,"28, 22, 21",6,2001,2,AAKG9OAAFAAD7bBAAE,http://mapa.um.warszawa.pl/mvimages/san13/fig/752_fig_7404810_S12_2_2.png,2,7506980.1608,5784177.8653
AAKG9OAAFAAD7bBAAM,04.07.2012,Dzielnica Wilanów,jesion wyniosły,Fraxinus excelsior,D266857,66,10,2001,2,AAKG9OAAFAAD7bBAAM,http://mapa.um.warszawa.pl/mvimages/san13/fig/752_fig_7404810_S11_2_2.png,2,7506915.2979,5784230.7366
